has_gps_data,registration_number,horse_name,pp_track,pp_race_date,pp_race_number,pp_country,race_type,grade,distance_id,about_distance_indicator,distance,surface,post_position,position_at_point_of_call_1,position_at_point_of_call_2,position_at_point_of_call_3,position_at_point_of_call_4,position_at_point_of_call_5,official_position,length_behind_at_poc_1,length_behind_at_poc_2,length_behind_at_poc_3,length_behind_at_poc_4,length_behind_at_poc_5,length_behind_at_finish,length_ahead_at_poc_1,length_ahead_at_poc_2,length_ahead_at_poc_3,length_ahead_at_poc_4,length_ahead_at_poc_5,length_ahead_at_finish,post_time_odds,field_size,purse,pp_id
 ,22017307,A Cozy Thing,MED,2025-10-10,4,USA,AOC, ,5.0, ,5F,T,11,9,9,0,0,5,3,810,780,0,0,750,325,100,200,0,0,10,100,144,11,53550,22017307_MED_2025-10-10_4
 ,22017307,A Cozy Thing,CT ,2025-10-30,1,USA,CLM, ,6.5, ,6 1/2F,D,4,6,5,0,0,4,3,770,700,0,0,650,460,300,200,0,0,300,50,27,7,21500,22017307_CT_2025-10-30_1
X,22017307,A Cozy Thing,LRL,2025-11-28,2,USA,SOC, ,8.0, ,1M,D,4,5,7,6,0,5,4,170,420,570,0,810,575,100,200,150,0,400,500,208,8,25740,22017307_LRL_2025-11-28_2
X,21003092,A P M Notion,LRL,2025-10-25,7,USA,CLM, ,6.0, ,6F,D,6,6,4,0,0,4,4,520,410,0,0,550,975,150,100,0,0,250,50,84,8,25700,21003092_LRL_2025-10-25_7
X,21003092,A P M Notion,LRL,2025-11-15,10,USA,CLM, ,5.5, ,5 1/2F,D,4,6,6,0,0,7,6,560,800,0,0,1100,1525,250,150,0,0,0,50,181,7,23220,21003092_LRL_2025-11-15_10
X,21003092,A P M Notion,LRL,2025-12-07,1,USA,CLM, ,6.0, ,6F,D,8,6,6,0,0,5,4,460,1160,0,0,850,625,10,50,0,0,200,100,830,8,23390,21003092_LRL_2025-12-07_1
X,21003092,A P M Notion,LRL,2025-12-28,6,USA,CLM, ,7.0, ,7F,D,5,3,2,0,0,4,8,300,100,0,0,550,2225,10,100,0,0,150,275,606,9,24550,21003092_LRL_2025-12-28_6
X,21003092,A P M Notion,LRL,2026-01-09,5,USA,CLM, ,6.0, ,6F,D,7,6,9,0,0,9,9,510,870,0,0,1460,3325,10,0,0,0,0,0,961,9,19910,21003092_LRL_2026-01-09_5
X,23002277,Above the Norm,GP ,2025-11-01,5,USA,MSW, ,8.0, ,1M,D,7,3,4,7,0,8,8,150,200,1000,0,1660,4725,10,50,150,0,0,0,66,8,70000,23002277_GP_2025-11-01_5
X,23002277,Above the Norm,LRL,2025-12-21,3,USA,MCL, ,6.0, ,6F,D,1,1,1,0,0,3,3,0,0,0,0,350,700,300,10,0,0,150,175,7,9,28400,23002277_LRL_2025-12-21_3
X,22018737,Ade,LRL,2025-11-16,5,USA,CLM, ,6.0, ,6F,D,5,3,4,0,0,3,3,150,600,0,0,600,375,10,10,0,0,100,5,72,9,24550,22018737_LRL_2025-11-16_5
X,22018737,Ade,LRL,2025-11-28,2,USA,SOC, ,8.0, ,1M,D,5,2,4,4,0,3,2,50,160,270,0,410,425,10,200,100,0,300,25,118,8,25740,22018737_LRL_2025-11-28_2
X,22018737,Ade,LRL,2025-12-07,5,USA,CLM, ,8.0, ,1M,D,1,3,4,2,0,2,1,200,210,10,0,10,0,150,50,50,0,300,5,17,8,26030,22018737_LRL_2025-12-07_5
X,22018737,Ade,LRL,2025-12-26,3,USA,CLM, ,8.5, ,1 1/16M,D,3,4,5,4,0,2,2,310,310,210,0,50,200,150,150,10,0,250,425,12,6,24700,22018737_LRL_2025-12-26_3
X,20012355,Admit Nothing,LRL,2025-09-21,2,USA,CLM, ,8.5, ,1 1/16M,D,6,4,4,4,0,2,3,450,350,260,0,350,600,150,50,150,0,50,25,62,6,20400,20012355_LRL_2025-09-21_2
 ,20012355,Admit Nothing,CT ,2025-10-03,8,USA,CLM, ,8.5, ,1 1/16M,D,5,2,2,2,0,1,2,50,50,50,0,0,50,100,50,10,0,10,250,31,8,16300,20012355_CT_2025-10-03_8
X,20012355,Admit Nothing,LRL,2025-11-16,10,USA,CLM, ,8.0, ,1M,D,5,7,7,7,0,5,3,1200,1300,810,0,1010,1025,250,500,1500,0,150,100,61,8,21030,20012355_LRL_2025-11-16_10
X,20012355,Admit Nothing,LRL,2025-12-14,1,USA,CLM, ,8.5, ,1 1/16M,D,4,2,5,7,0,7,7,800,1260,1350,0,1700,3200,10,100,0,0,0,0,201,7,22400,20012355_LRL_2025-12-14_1
 ,22009792,Aeronyx,FP ,2025-07-22,3,USA,MCL, ,5.5, ,5 1/2F,D,2,2,1,0,0,1,2,150,0,0,0,0,75,50,50,0,0,50,5,14,5,12000,22009792_FP_2025-07-22_3
 ,22009792,Aeronyx,FP ,2025-09-27,7,USA,MSW, ,6.0, ,6F,D,1,2,3,0,0,2,2,50,250,0,0,600,1350,10,100,0,0,150,350,13,7,15000,22009792_FP_2025-09-27_7
 ,22009792,Aeronyx,FP ,2025-10-14,3,USA,MSW, ,6.0, ,6F,D,4,2,2,0,0,2,3,500,700,0,0,600,575,50,400,0,0,250,900,72,6,15000,22009792_FP_2025-10-14_3
X,22004135,Aggro,CD ,2025-10-29,6,USA,CLM, ,8.0, ,1M,D,12,2,2,1,0,1,2,50,50,0,0,0,200,100,100,200,0,50,200,52,12,58000,22004135_CD_2025-10-29_6
X,22004135,Aggro,CD ,2025-11-22,7,USA,CLM, ,8.5, ,1 1/16M,D,1,2,2,2,0,5,5,150,150,250,0,610,1200,10,50,200,0,300,25,88,9,63000,22004135_CD_2025-11-22_7
X,22004135,Aggro,TP ,2025-12-04,3,USA,CLM, ,6.0, ,6F,D,1,6,7,0,0,7,7,520,680,0,0,470,505,150,10,0,0,200,25,352,9,43500,22004135_TP_2025-12-04_3
X,21013063,Albert Finnigan,LRL,2025-10-05,3,USA,MCL, ,8.0, ,1M,T,7,9,9,10,0,10,10,1350,870,1860,0,3270,2905,150,150,0,0,0,0,919,10,32000,21013063_LRL_2025-10-05_3
X,21013063,Albert Finnigan,LRL,2025-11-02,3,USA,MCL, ,8.5, ,1 1/16M,D,7,5,5,5,0,5,5,500,1050,850,0,1100,1160,300,200,10,0,150,25,272,8,25700,21013063_LRL_2025-11-02_3
X,21013063,Albert Finnigan,LRL,2025-11-27,1,USA,MCL, ,8.0, ,1M,D,3,5,7,9,0,8,7,450,760,720,0,580,825,100,100,0,0,150,50,324,9,25870,21013063_LRL_2025-11-27_1
X,20014884,Alilnalot,LRL,2025-09-07,2,USA,CLM, ,8.0, ,1M,D,4,1,1,4,0,6,6,0,0,470,0,1270,2225,50,10,250,0,0,0,28,6,19620,20014884_LRL_2025-09-07_2
X,20014884,Alilnalot,LRL,2025-11-16,10,USA,CLM, ,8.0, ,1M,D,2,2,4,6,0,4,4,50,300,660,0,1000,1125,300,100,150,0,10,175,12,8,21030,20014884_LRL_2025-11-16_10
 ,20014884,Alilnalot,PRX,2025-12-09,1,USA,CLM, ,8.32, ,1M 70Y,D,7,1,2,1,0,1,1,0,10,0,0,0,0,10,250,50,0,10,75,62,11,18000,20014884_PRX_2025-12-09_1
X,22019160,All the Hardways,LRL,2025-10-11,11,USA,STK, ,9.0, ,1 1/8M,D,6,4,4,4,0,5,5,560,350,450,0,810,1300,100,100,100,0,250,700,374,6,150000,22019160_LRL_2025-10-11_11
X,22019160,All the Hardways,LRL,2025-10-31,9,USA,ALW, ,8.0, ,1M,D,1,3,3,4,0,3,3,250,400,500,0,800,1200,10,50,350,0,10,75,6,5,48000,22019160_LRL_2025-10-31_9
X,22019160,All the Hardways,LRL,2025-11-30,4,USA,ALW, ,6.0, ,6F,D,6,2,2,0,0,2,3,10,300,0,0,150,150,100,50,0,0,10,50,34,6,48000,22019160_LRL_2025-11-30_4
X,22019160,All the Hardways,LRL,2025-12-13,8,USA,ALW, ,8.0, ,1M,D,3,2,3,4,0,3,5,100,200,160,0,200,975,50,50,150,0,10,575,23,6,48000,22019160_LRL_2025-12-13_8
