starter_id,target_race_id,track_id,race_date,race_number,distance,distance_id,surface,race_type,purse,registration_number,horse_name,post_position,official_position,field_size,finish_score,is_winner,is_top3,split
LRL_2025-12-12_1_22010064,LRL_2025-12-12_1,LRL,2025-12-12,1,7F,7.0,D,SOC,27900,22010064,Buckin' Right,1,2,8,0.8571428571428572,0,1,train
LRL_2025-12-12_1_22011846,LRL_2025-12-12_1,LRL,2025-12-12,1,7F,7.0,D,SOC,27900,22011846,Rehoboth Avenue,2,4,8,0.5714285714285714,0,0,train
LRL_2025-12-12_1_21017739,LRL_2025-12-12_1,LRL,2025-12-12,1,7F,7.0,D,SOC,27900,21017739,Sippin' Time,3,8,8,0.0,0,0,train
LRL_2025-12-12_1_19002714,LRL_2025-12-12_1,LRL,2025-12-12,1,7F,7.0,D,SOC,27900,19002714,Mischief Motion,4,7,8,0.1428571428571429,0,0,train
LRL_2025-12-12_1_22004844,LRL_2025-12-12_1,LRL,2025-12-12,1,7F,7.0,D,SOC,27900,22004844,Over My Cents,5,6,8,0.2857142857142857,0,0,train
LRL_2025-12-12_1_22002156,LRL_2025-12-12_1,LRL,2025-12-12,1,7F,7.0,D,SOC,27900,22002156,Mun Mun Can Run,6,3,8,0.7142857142857143,0,1,train
LRL_2025-12-12_1_22004645,LRL_2025-12-12_1,LRL,2025-12-12,1,7F,7.0,D,SOC,27900,22004645,Bourbon N Lace,7,1,8,1.0,1,1,train
LRL_2025-12-12_1_21003278,LRL_2025-12-12_1,LRL,2025-12-12,1,7F,7.0,D,SOC,27900,21003278,Weekend Wife,8,5,8,0.4285714285714286,0,0,train
LRL_2025-12-12_2_20020224,LRL_2025-12-12_2,LRL,2025-12-12,2,1 1/16M,8.5,D,SOC,40885,20020224,Mosler Time,1,3,5,0.5,0,1,train
LRL_2025-12-12_2_20016574,LRL_2025-12-12_2,LRL,2025-12-12,2,1 1/16M,8.5,D,SOC,40885,20016574,Feeling Woozy,2,1,5,1.0,1,1,train
LRL_2025-12-12_2_21019098,LRL_2025-12-12_2,LRL,2025-12-12,2,1 1/16M,8.5,D,SOC,40885,21019098,Uncle Cat,3,4,5,0.25,0,0,train
LRL_2025-12-12_2_19010909,LRL_2025-12-12_2,LRL,2025-12-12,2,1 1/16M,8.5,D,SOC,40885,19010909,Tops the Chart,4,2,5,0.75,0,1,train
LRL_2025-12-12_2_21001404,LRL_2025-12-12_2,LRL,2025-12-12,2,1 1/16M,8.5,D,SOC,40885,21001404,Watch Out World,5,5,5,0.0,0,0,train
LRL_2025-12-12_3_21007178,LRL_2025-12-12_3,LRL,2025-12-12,3,6F,6.0,D,SOC,30450,21007178,Stress Reliever,1,2,6,0.8,0,1,train
LRL_2025-12-12_3_21000940,LRL_2025-12-12_3,LRL,2025-12-12,3,6F,6.0,D,SOC,30450,21000940,Gourmet,2,4,6,0.4,0,0,train
LRL_2025-12-12_3_22006185,LRL_2025-12-12_3,LRL,2025-12-12,3,6F,6.0,D,SOC,30450,22006185,She's a Bombshell,3,5,6,0.19999999999999996,0,0,train
LRL_2025-12-12_3_22005270,LRL_2025-12-12_3,LRL,2025-12-12,3,6F,6.0,D,SOC,30450,22005270,Boutwell Time,4,1,6,1.0,1,1,train
LRL_2025-12-12_3_22002084,LRL_2025-12-12_3,LRL,2025-12-12,3,6F,6.0,D,SOC,30450,22002084,Don't Fool With Me,5,6,6,0.0,0,0,train
LRL_2025-12-12_3_21010411,LRL_2025-12-12_3,LRL,2025-12-12,3,6F,6.0,D,SOC,30450,21010411,Anita Beer,6,3,6,0.6,0,1,train
LRL_2025-12-12_4_23018806,LRL_2025-12-12_4,LRL,2025-12-12,4,6F,6.0,D,AOC,53165,23018806,Bonsai Warrior,1,5,5,0.0,0,0,train
LRL_2025-12-12_4_23001383,LRL_2025-12-12_4,LRL,2025-12-12,4,6F,6.0,D,AOC,53165,23001383,Spidey Man,2,1,5,1.0,1,1,train
LRL_2025-12-12_4_23002714,LRL_2025-12-12_4,LRL,2025-12-12,4,6F,6.0,D,AOC,53165,23002714,Lundi Loot,3,3,5,0.5,0,1,train
LRL_2025-12-12_4_23008967,LRL_2025-12-12_4,LRL,2025-12-12,4,6F,6.0,D,AOC,53165,23008967,Ihaveanappforthat,4,2,5,0.75,0,1,train
LRL_2025-12-12_4_23010766,LRL_2025-12-12_4,LRL,2025-12-12,4,6F,6.0,D,AOC,53165,23010766,Prince of Darkness,5,4,5,0.25,0,0,train
LRL_2025-12-12_5_23006689,LRL_2025-12-12_5,LRL,2025-12-12,5,7F,7.0,D,MSW,51700,23006689,Truly Thrilling,1,5,5,0.0,0,0,train
LRL_2025-12-12_5_23014050,LRL_2025-12-12_5,LRL,2025-12-12,5,7F,7.0,D,MSW,51700,23014050,Celtic Harp,2,1,5,1.0,1,1,train
LRL_2025-12-12_5_23014066,LRL_2025-12-12_5,LRL,2025-12-12,5,7F,7.0,D,MSW,51700,23014066,Clearly Sophia,3,4,5,0.25,0,0,train
LRL_2025-12-12_5_23016859,LRL_2025-12-12_5,LRL,2025-12-12,5,7F,7.0,D,MSW,51700,23016859,Kiss Me Mo,4,3,5,0.5,0,1,train
LRL_2025-12-12_5_23000688,LRL_2025-12-12_5,LRL,2025-12-12,5,7F,7.0,D,MSW,51700,23000688,Juniper's Jubilee,5,2,5,0.75,0,1,train
LRL_2025-12-12_6_20001085,LRL_2025-12-12_6,LRL,2025-12-12,6,7F,7.0,D,SOC,25020,20001085,Jolly by Golly,1,2,8,0.8571428571428572,0,1,train
LRL_2025-12-12_6_F0047121,LRL_2025-12-12_6,LRL,2025-12-12,6,7F,7.0,D,SOC,25020,F0047121,Masen (GB),2,8,8,0.0,0,0,train
LRL_2025-12-12_6_19008473,LRL_2025-12-12_6,LRL,2025-12-12,6,7F,7.0,D,SOC,25020,19008473,Hatch,3,6,8,0.2857142857142857,0,0,train
LRL_2025-12-12_6_17020018,LRL_2025-12-12_6,LRL,2025-12-12,6,7F,7.0,D,SOC,25020,17020018,Self Taught,4,3,8,0.7142857142857143,0,1,train
LRL_2025-12-12_6_21019628,LRL_2025-12-12_6,LRL,2025-12-12,6,7F,7.0,D,SOC,25020,21019628,El Divino Nino,5,4,8,0.5714285714285714,0,0,train
LRL_2025-12-12_6_18015442,LRL_2025-12-12_6,LRL,2025-12-12,6,7F,7.0,D,SOC,25020,18015442,Magic Spin,6,5,8,0.4285714285714286,0,0,train
LRL_2025-12-12_6_19009621,LRL_2025-12-12_6,LRL,2025-12-12,6,7F,7.0,D,SOC,25020,19009621,Brother Conway,7,1,8,1.0,1,1,train
LRL_2025-12-12_6_22006543,LRL_2025-12-12_6,LRL,2025-12-12,6,7F,7.0,D,SOC,25020,22006543,Let's Have a Party,8,7,8,0.1428571428571429,0,0,train
LRL_2025-12-12_7_21008503,LRL_2025-12-12_7,LRL,2025-12-12,7,1M,8.0,D,ALW,48000,21008503,Concrete Faze,1,1,5,1.0,1,1,train
LRL_2025-12-12_7_21000753,LRL_2025-12-12_7,LRL,2025-12-12,7,1M,8.0,D,ALW,48000,21000753,Princess Lucia,2,3,5,0.5,0,1,train
LRL_2025-12-12_7_21010064,LRL_2025-12-12_7,LRL,2025-12-12,7,1M,8.0,D,ALW,48000,21010064,Society Ball,3,5,5,0.0,0,0,train
LRL_2025-12-12_7_22008993,LRL_2025-12-12_7,LRL,2025-12-12,7,1M,8.0,D,ALW,48000,22008993,Nancy Mary,4,2,5,0.75,0,1,train
LRL_2025-12-12_7_21003964,LRL_2025-12-12_7,LRL,2025-12-12,7,1M,8.0,D,ALW,48000,21003964,Juniper Juice,5,4,5,0.25,0,0,train
LRL_2025-12-12_8_19005959,LRL_2025-12-12_8,LRL,2025-12-12,8,6F,6.0,D,CLM,20700,19005959,Woodline,1,4,6,0.4,0,0,train
LRL_2025-12-12_8_22006170,LRL_2025-12-12_8,LRL,2025-12-12,8,6F,6.0,D,CLM,20700,22006170,Probale Ten,2,6,6,0.0,0,0,train
LRL_2025-12-12_8_20013127,LRL_2025-12-12_8,LRL,2025-12-12,8,6F,6.0,D,CLM,20700,20013127,The Heights,3,3,6,0.6,0,1,train
LRL_2025-12-12_8_19011495,LRL_2025-12-12_8,LRL,2025-12-12,8,6F,6.0,D,CLM,20700,19011495,Daufuskie Island,4,5,6,0.19999999999999996,0,0,train
LRL_2025-12-12_8_18001931,LRL_2025-12-12_8,LRL,2025-12-12,8,6F,6.0,D,CLM,20700,18001931,The Wolfman,5,2,6,0.8,0,1,train
LRL_2025-12-12_8_19017159,LRL_2025-12-12_8,LRL,2025-12-12,8,6F,6.0,D,CLM,20700,19017159,Pudge Boy Palace,6,1,6,1.0,1,1,train
LRL_2025-12-13_1_22016308,LRL_2025-12-13_1,LRL,2025-12-13,1,7F,7.0,D,SOC,33150,22016308,Straight to Water,1,1,6,1.0,1,1,train
LRL_2025-12-13_1_22001273,LRL_2025-12-13_1,LRL,2025-12-13,1,7F,7.0,D,SOC,33150,22001273,Tiny Lake,2,6,6,0.0,0,0,train
LRL_2025-12-13_1_20002819,LRL_2025-12-13_1,LRL,2025-12-13,1,7F,7.0,D,SOC,33150,20002819,Chance,3,2,6,0.8,0,1,train
LRL_2025-12-13_1_22003166,LRL_2025-12-13_1,LRL,2025-12-13,1,7F,7.0,D,SOC,33150,22003166,Speedy Alex,4,5,6,0.19999999999999996,0,0,train
LRL_2025-12-13_1_21018249,LRL_2025-12-13_1,LRL,2025-12-13,1,7F,7.0,D,SOC,33150,21018249,Shadow Surge,5,4,6,0.4,0,0,train
LRL_2025-12-13_1_22004675,LRL_2025-12-13_1,LRL,2025-12-13,1,7F,7.0,D,SOC,33150,22004675,Schrader,6,3,6,0.6,0,1,train
LRL_2025-12-13_2_16012148,LRL_2025-12-13_2,LRL,2025-12-13,2,1 1/8M,9.0,D,SOC,24000,16012148,Bold Endeavor,1,2,5,0.75,0,1,train
LRL_2025-12-13_2_18003394,LRL_2025-12-13_2,LRL,2025-12-13,2,1 1/8M,9.0,D,SOC,24000,18003394,Fan Club,2,1,5,1.0,1,1,train
LRL_2025-12-13_2_20003449,LRL_2025-12-13_2,LRL,2025-12-13,2,1 1/8M,9.0,D,SOC,24000,20003449,Master of None,3,4,5,0.25,0,0,train
LRL_2025-12-13_2_21004220,LRL_2025-12-13_2,LRL,2025-12-13,2,1 1/8M,9.0,D,SOC,24000,21004220,Masakado,4,3,5,0.5,0,1,train
LRL_2025-12-13_2_19012610,LRL_2025-12-13_2,LRL,2025-12-13,2,1 1/8M,9.0,D,SOC,24000,19012610,Catatumbo,5,5,5,0.0,0,0,train
LRL_2025-12-13_3_22010453,LRL_2025-12-13_3,LRL,2025-12-13,3,5 1/2F,5.5,D,CLM,24700,22010453,Lost River,1,3,6,0.6,0,1,train
LRL_2025-12-13_3_22010143,LRL_2025-12-13_3,LRL,2025-12-13,3,5 1/2F,5.5,D,CLM,24700,22010143,Infastuation,2,6,6,0.0,0,0,train
LRL_2025-12-13_3_21008555,LRL_2025-12-13_3,LRL,2025-12-13,3,5 1/2F,5.5,D,CLM,24700,21008555,Feelin So Lucky,3,5,6,0.19999999999999996,0,0,train
