horse_name,registration_number,pp_track,pp_race_date,pp_race_number,race_type,grade,distance_id,distance_unit,about_distance_indicator,published_value,surface,post_position,gate,position,official_position,sectional_time,running_time,time_behind,distance_behind,distance_ran,cumulative_distance_ran,strides,cumulative_strides,purse,field_size,is_about_distance,is_graded_race,distance_furlongs,distance_meters_expected,distance_label,is_nonstandard_distance,pp_race_key
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,7.5,10,4,7.3,7.304,0.891,15.3,100.8,100.8,16.9,16.9,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,7.0,10,4,5.99,13.295,1.089,18.6,103.3,204.1,14.3,31.2,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,6.5,9,4,6.05,19.351,1.144,19.3,101.2,305.3,14.2,45.4,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,6.0,9,4,5.82,25.175,1.225,20.5,100.7,406.0,13.6,59.0,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,5.5,9,4,5.89,31.067,1.276,21.6,100.7,506.7,13.8,72.8,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,5.0,8,4,5.9,36.966,1.267,21.4,100.6,607.3,13.8,86.6,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,4.5,8,4,5.82,42.782,1.129,19.0,100.6,707.9,13.6,100.19999999999999,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,4.0,7,4,5.91,48.688,0.928,15.4,100.6,808.5,13.7,113.89999999999999,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,3.5,7,4,6.02,54.707,0.688,11.3,100.6,909.1,14.0,127.89999999999999,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,3.0,7,4,6.08,60.784,0.524,8.4,101.1,1010.2,14.0,141.89999999999998,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,2.5,7,4,6.39,67.171,0.526,8.4,103.3,1113.5,14.8,156.7,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,2.0,7,4,6.43,73.604,0.554,8.9,104.9,1218.4,14.9,171.6,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,1.5,9,4,6.45,80.056,0.624,10.2,104.6,1323.0,15.1,186.7,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,1.0,7,4,5.99,86.055,0.485,7.9,100.6,1423.6,14.1,200.79999999999998,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,0.5,5,4,6.04,92.097,0.298,4.7,100.6,1524.1999999999998,14.1,214.89999999999998,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-22,2,SOC,,8.0,F,,1M,T,7,0.0,4,4,6.34,98.442,0.362,5.4,100.6,1624.7999999999997,14.2,229.09999999999997,26520,11,0,0,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,8.0,12,2,7.54,7.548,0.866,15.1,100.7,100.7,17.6,17.6,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,7.5,12,2,5.8,13.346,1.241,22.3,100.6,201.3,13.9,31.5,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,7.0,12,2,5.84,19.187,1.377,23.9,101.3,302.6,14.0,45.5,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,6.5,12,2,5.78,24.962,1.152,19.0,101.1,403.70000000000005,13.8,59.3,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,6.0,11,2,5.84,30.796,0.751,12.2,100.9,504.6,14.0,73.3,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,5.5,10,2,6.13,36.925,0.525,8.5,101.5,606.1,14.3,87.6,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,5.0,9,2,6.09,43.007,0.545,9.1,100.6,706.7,14.0,101.6,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,4.5,9,2,5.96,48.963,0.553,9.3,100.6,807.3000000000001,13.9,115.5,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,4.0,9,2,5.9,54.863,0.621,10.6,100.6,907.9000000000001,13.9,129.4,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,3.5,9,2,5.88,60.734,0.621,10.5,100.6,1008.5000000000001,13.9,143.3,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,3.0,9,2,5.97,66.714,0.538,9.0,102.5,1111.0,14.1,157.4,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,2.5,9,2,6.14,72.862,0.562,9.2,104.3,1215.3,14.8,172.20000000000002,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
Bode's Maker,15000089,LRL,2025-11-01,6,SOC,,8.5,F,,1 1/16M,T,6,2.0,9,2,6.28,79.144,0.502,8.2,104.6,1319.8999999999999,15.0,187.20000000000002,27020,12,0,0,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
