horse_race_key,race_key,track_id,race_date,race_number,distance_id,distance_furlongs,distance_meters_expected,distance_unit,distance_label,is_nonstandard_distance,is_about_distance,surface,race_type,is_graded_race,purse,registration_number,horse_name,post_position,official_position,num_gate_rows,gate_min,gate_max,field_size,gate_0p0_position,gate_0p5_position,gate_1p0_position,gate_1p5_position,gate_2p0_position,gate_2p5_position,gate_3p0_position,gate_3p5_position,gate_4p0_position,gate_4p5_position,gate_5p0_position,gate_5p5_position,gate_6p0_position,gate_6p5_position,gate_7p0_position,gate_7p5_position,gate_8p0_position,gate_8p5_position,gate_0p0_sectional_time,gate_0p5_sectional_time,gate_1p0_sectional_time,gate_1p5_sectional_time,gate_2p0_sectional_time,gate_2p5_sectional_time,gate_3p0_sectional_time,gate_3p5_sectional_time,gate_4p0_sectional_time,gate_4p5_sectional_time,gate_5p0_sectional_time,gate_5p5_sectional_time,gate_6p0_sectional_time,gate_6p5_sectional_time,gate_7p0_sectional_time,gate_7p5_sectional_time,gate_8p0_sectional_time,gate_8p5_sectional_time,gate_0p0_running_time,gate_0p5_running_time,gate_1p0_running_time,gate_1p5_running_time,gate_2p0_running_time,gate_2p5_running_time,gate_3p0_running_time,gate_3p5_running_time,gate_4p0_running_time,gate_4p5_running_time,gate_5p0_running_time,gate_5p5_running_time,gate_6p0_running_time,gate_6p5_running_time,gate_7p0_running_time,gate_7p5_running_time,gate_8p0_running_time,gate_8p5_running_time,gate_0p0_time_behind,gate_0p5_time_behind,gate_1p0_time_behind,gate_1p5_time_behind,gate_2p0_time_behind,gate_2p5_time_behind,gate_3p0_time_behind,gate_3p5_time_behind,gate_4p0_time_behind,gate_4p5_time_behind,gate_5p0_time_behind,gate_5p5_time_behind,gate_6p0_time_behind,gate_6p5_time_behind,gate_7p0_time_behind,gate_7p5_time_behind,gate_8p0_time_behind,gate_8p5_time_behind,gate_0p0_distance_behind,gate_0p5_distance_behind,gate_1p0_distance_behind,gate_1p5_distance_behind,gate_2p0_distance_behind,gate_2p5_distance_behind,gate_3p0_distance_behind,gate_3p5_distance_behind,gate_4p0_distance_behind,gate_4p5_distance_behind,gate_5p0_distance_behind,gate_5p5_distance_behind,gate_6p0_distance_behind,gate_6p5_distance_behind,gate_7p0_distance_behind,gate_7p5_distance_behind,gate_8p0_distance_behind,gate_8p5_distance_behind,gate_0p0_distance_ran,gate_0p5_distance_ran,gate_1p0_distance_ran,gate_1p5_distance_ran,gate_2p0_distance_ran,gate_2p5_distance_ran,gate_3p0_distance_ran,gate_3p5_distance_ran,gate_4p0_distance_ran,gate_4p5_distance_ran,gate_5p0_distance_ran,gate_5p5_distance_ran,gate_6p0_distance_ran,gate_6p5_distance_ran,gate_7p0_distance_ran,gate_7p5_distance_ran,gate_8p0_distance_ran,gate_8p5_distance_ran,gate_0p0_cumulative_distance_ran,gate_0p5_cumulative_distance_ran,gate_1p0_cumulative_distance_ran,gate_1p5_cumulative_distance_ran,gate_2p0_cumulative_distance_ran,gate_2p5_cumulative_distance_ran,gate_3p0_cumulative_distance_ran,gate_3p5_cumulative_distance_ran,gate_4p0_cumulative_distance_ran,gate_4p5_cumulative_distance_ran,gate_5p0_cumulative_distance_ran,gate_5p5_cumulative_distance_ran,gate_6p0_cumulative_distance_ran,gate_6p5_cumulative_distance_ran,gate_7p0_cumulative_distance_ran,gate_7p5_cumulative_distance_ran,gate_8p0_cumulative_distance_ran,gate_8p5_cumulative_distance_ran,gate_0p0_strides,gate_0p5_strides,gate_1p0_strides,gate_1p5_strides,gate_2p0_strides,gate_2p5_strides,gate_3p0_strides,gate_3p5_strides,gate_4p0_strides,gate_4p5_strides,gate_5p0_strides,gate_5p5_strides,gate_6p0_strides,gate_6p5_strides,gate_7p0_strides,gate_7p5_strides,gate_8p0_strides,gate_8p5_strides,gate_0p0_cumulative_strides,gate_0p5_cumulative_strides,gate_1p0_cumulative_strides,gate_1p5_cumulative_strides,gate_2p0_cumulative_strides,gate_2p5_cumulative_strides,gate_3p0_cumulative_strides,gate_3p5_cumulative_strides,gate_4p0_cumulative_strides,gate_4p5_cumulative_strides,gate_5p0_cumulative_strides,gate_5p5_cumulative_strides,gate_6p0_cumulative_strides,gate_6p5_cumulative_strides,gate_7p0_cumulative_strides,gate_7p5_cumulative_strides,gate_8p0_cumulative_strides,gate_8p5_cumulative_strides
LRL|2025-12-12|1|22004645,LRL|2025-12-12|1,LRL,2025-12-12,1,7.0,7.0,1408.176,F,7F,0,0,D,SOC,0,27900,22004645,Bourbon N Lace,7,1,14,0.0,6.5,8,1.0,1.0,2.0,4.0,4.0,4.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,4.0,,,,,6.82,6.65,6.58,6.94,6.94,6.6,6.17,5.86,6.01,5.85,5.69,5.65,5.76,6.96,,,,,88.46,81.644,74.998,68.42,61.475,54.535,47.934,41.772,35.918,29.915,24.072,18.378,12.723,6.962,,,,,0.0,0.0,0.328,0.796,1.018,0.933,0.904,0.842,0.783,0.627,0.532,0.549,0.59,0.43,,,,,0.0,0.0,4.7,11.6,15.1,14.1,14.0,13.6,13.1,10.8,9.3,9.9,10.7,7.4,,,,,100.6,100.6,100.7,104.0,105.3,103.7,100.6,100.6,100.6,100.6,100.6,100.7,100.6,100.6,,,,,1419.8,1319.2,1218.6000000000001,1117.9,1013.9000000000001,908.6000000000001,804.9000000000001,704.3000000000001,603.7,503.1,402.5,301.9,201.2,100.6,,,,,15.3,15.2,15.1,16.3,16.3,15.8,14.6,13.9,14.3,14.0,14.0,13.8,14.6,0.0,,,,,193.20000000000002,177.9,162.70000000000002,147.60000000000002,131.3,115.0,99.2,84.60000000000001,70.7,56.4,42.4,28.4,14.6,0.0,,,,
LRL|2025-12-12|1|22010064,LRL|2025-12-12|1,LRL,2025-12-12,1,7.0,7.0,1408.176,F,7F,0,0,D,SOC,0,27900,22010064,Buckin' Right,1,2,14,0.0,6.5,8,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,,,,7.55,7.21,7.05,7.17,6.86,6.57,6.11,5.8,5.85,5.74,5.73,5.64,5.66,6.54,,,,,89.429,81.881,74.67,67.624,60.457,53.602,47.03,40.93,35.135,29.288,23.557,17.829,12.192,6.532,,,,,0.969,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.059,0.0,,,,,12.9,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.1,0.0,,,,,100.6,100.6,100.6,103.1,103.5,101.1,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,,,,,1414.2999999999997,1313.6999999999998,1213.1,1112.5,1009.4000000000001,905.9000000000001,804.8000000000001,704.2,603.6,503.0,402.4,301.79999999999995,201.2,100.6,,,,,16.0,15.8,15.2,15.8,15.4,15.2,14.2,13.3,13.8,13.6,13.7,13.7,13.6,0.0,,,,,189.3,173.3,157.5,142.3,126.50000000000001,111.10000000000001,95.9,81.7,68.4,54.6,41.0,27.299999999999997,13.6,0.0,,,,
LRL|2025-12-12|1|22002156,LRL|2025-12-12|1,LRL,2025-12-12,1,7.0,7.0,1408.176,F,7F,0,0,D,SOC,0,27900,22002156,Mun Mun Can Run,6,3,14,0.0,6.5,8,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,,7.03,7.04,7.03,7.1,7.01,6.68,6.2,5.9,5.87,5.74,5.67,5.6,5.63,7.04,,,,,89.502,82.466,75.43,68.404,61.304,54.296,47.615,41.425,35.534,29.665,23.935,18.261,12.664,7.035,,,,,1.042,0.822,0.76,0.78,0.847,0.694,0.585,0.495,0.399,0.377,0.395,0.432,0.531,0.503,,,,,13.9,11.7,10.9,11.4,12.5,10.5,9.1,8.0,6.7,6.5,6.9,7.8,9.6,8.6,,,,,100.6,100.6,100.6,103.5,104.5,102.5,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,,,,,1417.1,1316.5,1215.9,1115.3000000000002,1011.8000000000001,907.3000000000001,804.8000000000001,704.2,603.6,503.0,402.4,301.79999999999995,201.2,100.6,,,,,15.6,15.8,15.8,15.9,16.1,15.5,14.7,13.9,14.0,13.7,13.8,13.8,13.8,0.0,,,,,192.40000000000003,176.80000000000004,161.00000000000003,145.20000000000002,129.3,113.20000000000002,97.70000000000002,83.00000000000001,69.10000000000001,55.10000000000001,41.400000000000006,27.6,13.8,0.0,,,,
LRL|2025-12-12|1|22011846,LRL|2025-12-12|1,LRL,2025-12-12,1,7.0,7.0,1408.176,F,7F,0,0,D,SOC,0,27900,22011846,Rehoboth Avenue,2,4,14,0.0,6.5,8,4.0,5.0,6.0,7.0,7.0,7.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,,,,,6.96,6.77,6.86,7.06,7.13,6.95,6.51,5.94,5.93,5.82,5.77,5.71,5.56,6.57,,,,,89.551,82.587,75.813,68.954,61.889,54.758,47.809,41.299,35.36,29.431,23.62,17.848,12.133,6.569,,,,,1.091,0.943,1.143,1.33,1.432,1.156,0.779,0.369,0.225,0.143,0.08,0.019,0.0,0.037,,,,,14.6,13.4,16.4,19.4,21.2,17.5,12.1,6.0,3.8,2.5,1.4,0.3,0.0,0.6,,,,,100.6,100.6,100.6,103.5,104.8,103.8,100.7,100.6,100.6,100.6,100.6,100.6,100.6,100.6,,,,,1418.7999999999997,1318.1999999999998,1217.6,1117.0,1013.5,908.7,804.9000000000001,704.2,603.6,503.0,402.4,301.79999999999995,201.2,100.6,,,,,15.9,15.4,15.4,16.1,16.0,16.3,15.1,14.2,14.4,14.5,14.5,14.4,14.3,0.0,,,,,196.5,180.6,165.2,149.79999999999998,133.7,117.7,101.4,86.30000000000001,72.10000000000001,57.7,43.2,28.700000000000003,14.3,0.0,,,,
LRL|2025-12-12|1|21003278,LRL|2025-12-12|1,LRL,2025-12-12,1,7.0,7.0,1408.176,F,7F,0,0,D,SOC,0,27900,21003278,Weekend Wife,8,5,14,0.0,6.5,8,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,,,,,7.03,6.98,6.95,7.14,6.94,6.76,6.28,5.9,5.9,5.79,5.69,5.61,5.65,7.14,,,,,89.748,82.721,75.742,68.796,61.656,54.714,47.954,41.68,35.784,29.888,24.099,18.401,12.788,7.134,,,,,1.288,1.077,1.072,1.172,1.199,1.112,0.924,0.75,0.649,0.6,0.559,0.572,0.655,0.602,,,,,17.2,15.3,15.4,17.1,17.8,16.8,14.3,12.1,10.9,10.3,9.8,10.3,11.9,10.3,,,,,100.6,100.6,100.7,104.1,105.2,104.0,100.9,100.6,100.6,100.6,100.6,100.6,100.6,100.7,,,,,1420.3999999999999,1319.8,1219.2,1118.5,1014.4000000000001,909.2,805.2,704.3000000000001,603.7,503.1,402.5,301.9,201.3,100.7,,,,,15.8,15.9,15.5,16.2,15.9,15.7,14.8,14.0,14.0,13.9,13.7,13.8,14.1,0.0,,,,,193.3,177.5,161.6,146.1,129.9,114.0,98.3,83.5,69.5,55.49999999999999,41.599999999999994,27.9,14.1,0.0,,,,
LRL|2025-12-12|1|22004844,LRL|2025-12-12|1,LRL,2025-12-12,1,7.0,7.0,1408.176,F,7F,0,0,D,SOC,0,27900,22004844,Over My Cents,5,6,14,0.0,6.5,8,6.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,7.57,7.23,7.07,7.17,7.04,6.7,6.19,5.87,5.87,5.76,5.7,5.64,5.62,6.56,,,,,90.009,82.436,75.203,68.135,60.96,53.919,47.219,41.032,35.164,29.3,23.54,17.833,12.186,6.559,,,,,1.549,0.792,0.533,0.511,0.503,0.317,0.189,0.102,0.029,0.012,0.0,0.004,0.053,0.027,,,,,20.7,11.2,7.7,7.5,7.5,4.8,2.9,1.7,0.5,0.2,0.0,0.1,1.0,0.5,,,,,100.6,100.6,100.7,103.9,104.9,102.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,,,,,1418.1,1317.5,1216.9,1116.2,1012.3000000000001,907.4000000000001,804.8000000000001,704.2,603.6,503.0,402.4,301.79999999999995,201.2,100.6,,,,,16.7,16.6,16.3,17.0,16.6,15.9,14.8,14.3,14.3,14.2,14.2,13.8,14.7,0.0,,,,,199.4,182.70000000000002,166.10000000000002,149.8,132.8,116.2,100.3,85.5,71.2,56.900000000000006,42.7,28.5,14.7,0.0,,,,
LRL|2025-12-12|1|19002714,LRL|2025-12-12|1,LRL,2025-12-12,1,7.0,7.0,1408.176,F,7F,0,0,D,SOC,0,27900,19002714,Mischief Motion,4,7,14,0.0,6.5,8,7.0,7.0,7.0,6.0,5.0,5.0,7.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,,,,,7.45,7.13,7.06,7.32,6.98,6.61,6.21,5.95,5.9,5.73,5.64,5.55,5.51,7.49,,,,,90.517,83.068,75.939,68.874,61.555,54.572,47.956,41.749,35.806,29.91,24.184,18.543,12.994,7.485,,,,,2.057,1.424,1.269,1.25,1.098,0.97,0.926,0.819,0.671,0.622,0.644,0.714,0.861,0.953,,,,,27.5,20.2,18.2,18.3,16.3,14.7,14.4,13.3,11.2,10.7,11.3,12.8,15.6,16.3,,,,,100.6,100.6,100.6,103.8,104.6,102.5,100.7,100.6,100.6,100.6,100.6,100.6,100.6,100.6,,,,,1417.6,1317.0,1216.4,1115.8000000000002,1012.0000000000001,907.4000000000001,804.9000000000001,704.2,603.6,503.0,402.4,301.79999999999995,201.2,100.6,,,,,16.6,16.4,16.4,16.8,16.4,16.0,15.0,14.4,14.2,13.9,13.9,13.6,13.6,18.8,,,,,216.00000000000003,199.40000000000003,183.00000000000003,166.60000000000002,149.8,133.4,117.4,102.4,88.0,73.8,59.9,46.0,32.4,18.8,,,,
LRL|2025-12-12|1|21017739,LRL|2025-12-12|1,LRL,2025-12-12,1,7.0,7.0,1408.176,F,7F,0,0,D,SOC,0,27900,21017739,Sippin' Time,3,8,14,0.0,6.5,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,,,,,7.46,6.99,6.92,7.22,7.19,6.91,6.44,6.03,6.15,5.91,5.73,5.66,5.79,7.11,,,,,91.5,84.043,77.052,70.131,62.912,55.722,48.811,42.375,36.345,30.198,24.298,18.568,12.906,7.108,,,,,3.04,2.399,2.382,2.507,2.455,2.12,1.781,1.445,1.21,0.91,0.758,0.739,0.773,0.576,,,,,40.6,34.0,34.3,36.7,36.4,32.1,27.6,23.4,20.3,15.6,13.3,13.3,14.0,9.9,,,,,100.6,100.6,100.7,103.8,105.0,103.6,100.7,100.6,100.6,100.6,100.6,100.6,100.6,100.7,,,,,1419.3,1318.7,1218.1000000000001,1117.4,1013.6000000000001,908.6000000000001,805.0000000000001,704.3000000000001,603.7,503.1,402.5,301.9,201.3,100.7,,,,,15.8,15.3,15.3,15.7,16.0,15.4,14.4,13.8,13.9,13.9,13.8,13.8,13.9,16.8,,,,,207.80000000000004,192.00000000000003,176.70000000000002,161.4,145.70000000000002,129.70000000000002,114.30000000000001,99.9,86.10000000000001,72.2,58.3,44.5,30.700000000000003,16.8,,,,
LRL|2025-12-12|2|20016574,LRL|2025-12-12|2,LRL,2025-12-12,2,8.5,8.5,1709.928,F,1 1/16M,0,0,D,SOC,0,40885,20016574,Feeling Woozy,2,1,17,0.0,8.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,6.79,6.59,6.55,6.65,6.6,6.37,6.23,6.03,6.12,6.07,6.01,5.98,5.8,5.7,5.79,5.93,6.89,,106.09,99.3,92.711,86.161,79.511,72.91,66.538,60.307,54.278,48.16,42.093,36.078,30.097,24.3,18.604,12.819,6.891,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.3,0.6,0.7,1.5,1.5,0.2,0.0,0.0,0.0,1.9,,100.6,100.6,100.6,102.5,102.8,101.2,100.7,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.6,102.1,100.9,,1716.8,1616.2,1515.6000000000001,1415.0000000000002,1312.5000000000002,1209.7000000000003,1108.5000000000002,1007.8000000000002,907.2000000000002,806.6000000000001,706.0000000000001,605.4000000000001,504.80000000000007,404.20000000000005,303.6,203.0,100.9,,15.5,15.0,15.1,15.5,15.3,14.9,14.6,13.8,14.0,14.0,14.0,13.9,13.6,13.1,13.4,13.8,16.6,,246.10000000000002,230.60000000000002,215.60000000000002,200.50000000000003,185.00000000000003,169.70000000000002,154.8,140.20000000000002,126.4,112.4,98.4,84.4,70.5,56.900000000000006,43.800000000000004,30.400000000000002,16.6,
LRL|2025-12-12|2|19010909,LRL|2025-12-12|2,LRL,2025-12-12,2,8.5,8.5,1709.928,F,1 1/16M,0,0,D,SOC,0,40885,19010909,Tops the Chart,4,2,17,0.0,8.0,5,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,,7.25,6.91,6.66,6.8,6.77,6.55,6.31,6.05,6.12,6.07,6.0,5.97,5.85,5.73,5.94,5.97,7.03,,107.967,100.721,93.806,87.142,80.339,73.572,67.028,60.719,54.674,48.556,42.486,36.487,30.515,24.666,18.942,13.001,7.03,,1.877,1.421,1.095,0.981,0.828,0.662,0.49,0.412,0.396,0.396,0.393,0.409,0.418,0.366,0.338,0.182,0.254,,22.4,18.1,15.6,14.2,12.3,10.1,8.8,7.9,7.1,7.2,8.0,8.4,7.3,6.2,5.7,3.1,4.3,,100.6,100.6,100.6,103.6,104.5,103.2,101.1,100.6,100.6,100.6,100.6,100.6,100.6,100.6,100.7,103.1,100.9,,1723.0999999999997,1622.4999999999998,1521.8999999999999,1421.3,1317.7,1213.2,1110.0,1008.9000000000001,908.3000000000001,807.7,707.1,606.5,505.9,405.29999999999995,304.7,204.0,100.9,,15.7,14.9,14.8,15.3,15.3,14.9,14.3,13.8,13.7,13.7,13.6,13.8,13.8,13.3,13.5,13.9,16.4,,244.70000000000005,229.00000000000006,214.10000000000005,199.30000000000004,184.00000000000003,168.70000000000002,153.8,139.5,125.69999999999999,111.99999999999999,98.29999999999998,84.69999999999999,70.89999999999999,57.099999999999994,43.8,30.299999999999997,16.4,
