distance_label,distance_furlongs,n_pp_rows,n_unique_pp_races,active_poc_1,active_poc_2,active_poc_3,active_poc_4,active_poc_5,num_active_point_of_calls,active_point_of_call_columns
4F,4.0,4,4,4,0,0,0,4,2,"poc_1, poc_5"
4 1/2F,4.5,25,25,25,0,0,0,25,2,"poc_1, poc_5"
5F,5.0,25,25,25,25,0,0,25,3,"poc_1, poc_2, poc_5"
5 1/2F,5.5,286,286,286,286,0,0,286,3,"poc_1, poc_2, poc_5"
6F,6.0,772,772,772,772,0,0,772,3,"poc_1, poc_2, poc_5"
6 1/2F,6.5,94,94,94,94,0,0,94,3,"poc_1, poc_2, poc_5"
7F,7.0,245,245,245,245,0,0,245,3,"poc_1, poc_2, poc_5"
7 1/2F,7.5,8,8,8,8,0,0,8,3,"poc_1, poc_2, poc_5"
1M,8.0,406,406,406,406,406,0,406,4,"poc_1, poc_2, poc_3, poc_5"
1M 40Y,8.18,1,1,1,1,1,0,1,4,"poc_1, poc_2, poc_3, poc_5"
1M 70Y,8.32,64,64,64,64,64,0,64,4,"poc_1, poc_2, poc_3, poc_5"
1 1/16M,8.5,294,294,294,294,294,0,294,4,"poc_1, poc_2, poc_3, poc_5"
1 1/8M,9.0,64,64,64,64,64,0,64,4,"poc_1, poc_2, poc_3, poc_5"
1 3/16M,9.5,1,1,1,1,1,0,1,4,"poc_1, poc_2, poc_3, poc_5"
1 3/8M,11.0,1,1,1,1,1,1,1,5,"poc_1, poc_2, poc_3, poc_4, poc_5"
1 5/8M,13.0,1,1,1,1,1,1,1,5,"poc_1, poc_2, poc_3, poc_4, poc_5"
2 1/8M,17.0,1,1,1,1,1,1,1,5,"poc_1, poc_2, poc_3, poc_4, poc_5"
2 1/2M,20.0,1,1,1,1,1,1,1,5,"poc_1, poc_2, poc_3, poc_4, poc_5"
