gps_data_flag,registration_number,horse_name,pp_track,pp_race_date,pp_race_number,pp_country,race_type,grade,distance_id,distance_unit,about_distance_indicator,distance,surface,post_position,position_at_point_of_call_1,position_at_point_of_call_2,position_at_point_of_call_3,position_at_point_of_call_4,position_at_point_of_call_5,official_position,length_behind_at_poc_1,length_behind_at_poc_2,length_behind_at_poc_3,length_behind_at_poc_4,length_behind_at_poc_5,length_behind_at_finish,length_ahead_at_poc_1,length_ahead_at_poc_2,length_ahead_at_poc_3,length_ahead_at_poc_4,length_ahead_at_poc_5,length_ahead_at_finish,post_time_odds,field_size,purse,is_about_distance,is_graded_race,has_gps_data,distance_furlongs,distance_meters_expected,distance_label,is_nonstandard_distance,pp_race_key
X,15000089,Bode's Maker,LRL,2025-11-22,2,USA,SOC,,8.0,F,,1M,T,7,10.0,8.0,7.0,,9.0,4,1080.0,810.0,410.0,0.0,520.0,200.0,500.0,200.0,100.0,0.0,800.0,50.0,50,11,26520,0,0,1,8.0,1609.344,1M,0,15000089|LRL|2025-11-22|2
X,15000089,Bode's Maker,LRL,2025-11-01,6,USA,SOC,,8.5,F,,1 1/16M,T,6,12.0,9.0,7.0,,4.0,2,920.0,730.0,560.0,0.0,360.0,100.0,0.0,50.0,10.0,0.0,50.0,5.0,39,12,27020,0,0,1,8.5,1709.928,1 1/16M,0,15000089|LRL|2025-11-01|6
X,15000089,Bode's Maker,LRL,2025-10-04,9,USA,SOC,,8.0,F,,1M,T,9,7.0,7.0,7.0,,3.0,1,1000.0,1150.0,720.0,0.0,300.0,0.0,250.0,200.0,10.0,0.0,50.0,100.0,36,9,25520,0,0,1,8.0,1609.344,1M,0,15000089|LRL|2025-10-04|9
X,16009053,Tiberius Mercurius,AQU,2025-12-31,8,USA,CLM,,6.5,F,,6 1/2F,D,4,11.0,11.0,,,11.0,10,800.0,1140.0,0.0,0.0,1040.0,700.0,0.0,0.0,0.0,0.0,0.0,450.0,404,11,28000,0,0,1,6.5,1307.592,6 1/2F,0,16009053|AQU|2025-12-31|8
X,16009053,Tiberius Mercurius,AQU,2025-12-10,6,USA,CLM,,8.0,F,,1M,D,1,4.0,2.0,2.0,,2.0,4,120.0,200.0,50.0,0.0,350.0,725.0,100.0,10.0,150.0,0.0,50.0,75.0,50,7,28000,0,0,1,8.0,1609.344,1M,0,16009053|AQU|2025-12-10|6
X,16009053,Tiberius Mercurius,BAQ,2025-09-18,6,USA,CLM,,9.0,F,,1 1/8M,D,7,8.0,8.0,8.0,,7.0,7,1550.0,1720.0,1360.0,0.0,1200.0,1605.0,0.0,0.0,0.0,0.0,200.0,150.0,299,8,32000,0,0,1,9.0,1810.5120000000002,1 1/8M,0,16009053|BAQ|2025-09-18|6
X,16011638,Armando R,LRL,2025-11-29,5,USA,SOC,,8.5,F,,1 1/16M,D,3,7.0,8.0,7.0,,6.0,1,660.0,880.0,860.0,0.0,420.0,0.0,50.0,100.0,150.0,0.0,200.0,50.0,18,9,31370,0,0,1,8.5,1709.928,1 1/16M,0,16011638|LRL|2025-11-29|5
X,16011638,Armando R,LRL,2025-10-18,2,USA,SOC,,9.0,F,,1 1/8M,D,4,6.0,6.0,6.0,,2.0,1,900.0,850.0,750.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,100.0,125.0,23,6,29435,0,0,1,9.0,1810.5120000000002,1 1/8M,0,16011638|LRL|2025-10-18|2
X,16011638,Armando R,LRL,2025-09-21,4,USA,SOC,,8.5,F,,1 1/16M,D,1,6.0,7.0,7.0,,2.0,1,1160.0,920.0,720.0,0.0,150.0,0.0,150.0,0.0,0.0,0.0,10.0,225.0,19,7,30370,0,0,1,8.5,1709.928,1 1/16M,0,16011638|LRL|2025-09-21|4
,16012148,Bold Endeavor,PRX,2025-11-17,10,USA,CLM,,8.32,F,,1M 70Y,D,5,5.0,5.0,5.0,,2.0,1,260.0,130.0,210.0,0.0,150.0,0.0,100.0,100.0,400.0,0.0,150.0,225.0,23,9,26000,0,0,0,8.32,1673.71776,1M 70Y,1,16012148|PRX|2025-11-17|10
